t,rx,ry,theta,vx,vy,omega,Fx,Fy,M
0.0,-4.900000000000002,-4.9,8.881784197001252e-16,1.1657341758564144e-15,1.5543122344752192e-15,1.6653345369377348e-16,0.054985562313530134,0.12060381136201076,-3.509105853116701e-11
0.012658227848101266,-4.896949721199204,-4.893340182441457,-2.557132283698138e-10,0.004812418755902742,0.01048295266561286,-4.009655663050893e-10,0.054506513532048384,0.11790416344853438,-3.3519763353861975e-11
0.02531645569620253,-4.8878388635927585,-4.873586025363175,-1.0043161857709038e-9,0.009572198338629712,0.020669266119940494,-7.763659159998326e-10,0.05378791669127575,0.11385468068427385,-3.071646062502431e-11
0.0379746835443038,-4.8727429444407155,-4.841163088322107,-2.206377747171473e-9,0.01426880915465295,0.030499610768170315,-1.116641196174939e-9,0.05306929876703964,0.10980516676111673,-2.7509380190471333e-11
0.05063291139240506,-4.851741925564275,-4.796521966963302,-3.815723292888151e-9,0.01890224904834939,0.039973983456269624,-1.4200960407606544e-9,0.052350652881566984,0.10575561223636076,-2.4415958838064356e-11
0.06329113924050633,-4.824915770928067,-4.740113260059308,-5.7866671454576135e-9,0.023472517553325106,0.0490923834951659,-1.6882522602124084e-9,0.05163202434595188,0.10170608263544456,-2.1469308969512824e-11
0.0759493670886076,-4.792344443711481,-4.672387565391429,-8.075439428267828e-9,0.027979615471868335,0.05785481173226392,-1.922414172295106e-9,0.05091339671412859,0.09765654739082291,-1.859905632284331e-11
0.08860759493670886,-4.75410790685451,-4.5937954808501225,-1.0640062608757717e-8,0.03242354248961771,0.06626126755757389,-2.1246291392884586e-9,0.05019476102616932,0.09360700391143223,-1.6002733860265295e-11
0.10126582278481013,-4.710286124312035,-4.5047876055783505,-1.3442096769011869e-8,0.03680429722381445,0.07431174933651902,-2.29803615026114e-9,0.0494761019338435,0.08955743147694878,-1.3669617521250288e-11
0.11392405063291139,-4.660959061018939,-4.405814539747431,-1.6446949135939803e-8,0.04112188079196924,0.08200625881176327,-2.4455345248863836e-9,0.04875749167146687,0.08550792764661558,-1.156940862556688e-11
0.12658227848101267,-4.606206679354908,-4.297326879655866,-1.9623454416972663e-8,0.04537629384001404,0.08934479738859824,-2.5696305638867045e-9,0.048038847275375385,0.0814583871853039,-9.665161032623715e-12
0.13924050632911392,-4.5461089434206166,-4.1797752230422205,-2.294334988661717e-8,0.0495675346437722,0.09632736346880477,-2.6724015778079035e-9,0.04732019778455915,0.07740884699231382,-7.920410854955762e-12
0.1518987341772152,-4.480745818432471,-4.053610168344213,-2.6380742923493017e-8,0.053695602730997494,0.10295395697003124,-2.755522310327052e-9,0.04660154264393063,0.07335930465734264,-6.302722233009206e-12
0.16455696202531644,-4.410197270230685,-3.919282314202463,-2.991163094989702e-8,0.05776049759215213,0.10922457768203636,-2.8203202551146944e-9,0.04588288156011866,0.06930975968094771,-4.785113277838704e-12
0.17721518987341772,-4.334543265303459,-3.777242259548218,-3.351351018920923e-8,0.061762218723482754,0.11513922535847476,-2.8678405761262127e-9,0.04516421495809997,0.06526021174112501,-3.3462919935001167e-12
0.189873417721519,-4.253863770759176,-3.627940603644415,-3.716505236894818e-8,0.06570076564397564,0.12069789972007955,-2.8989107780930112e-9,0.04444554293027114,0.06121066041085871,-1.9702781073327458e-12
0.20253164556962025,-4.168238754307166,-3.47182794612886,-4.084587201802492e-8,0.069576137887365,0.1259006004557145,-2.9141975499413775e-9,0.043726865719781405,0.057161105392063594,-6.455322387743934e-13
0.21518987341772153,-4.07774818423268,-3.3093548870443605,-4.453634927514827e-8,0.07338833501055653,0.1307473272409071,-2.9142550317384774e-9,0.04300818361067543,0.05311154667941226,6.35689417771701e-13
0.22784810126582278,-3.9824720293641187,-3.140972026839533,-4.821751709016553e-8,0.07713735659999887,0.13523807976305868,-2.8995641998541544e-9,0.04228949699107665,0.049061984548370574,1.8780914323723863e-12
0.24050632911392406,-3.882490259028088,-2.9671299663368336,-5.187098750525365e-8,0.08082320228498235,0.1393728577492735,-2.870564896895189e-9,0.04157080644758587,0.04501241962680341,3.0840642539775587e-12
0.25316455696202533,-3.7778828429839066,-2.788279306662626,-5.547891746005007e-8,0.0844458717556163,0.14315166099747628,-2.8276800900783883e-9,0.04085211277736095,0.04096285289814583,4.2540970746074436e-12
0.26582278481012656,-3.6687297513350896,-2.604870649138269,-5.902399813351167e-8,0.08800536478090065,0.14657448940645834,-2.7713335515322512e-9,0.04013341697816103,0.036913285673881246,5.3875549854698335e-12
0.27848101265822783,-3.555110954418511,-2.4173545951349,-6.248946338160977e-8,0.09150168122592295,0.14964134300301718,-2.701962958928661e-9,0.03941472023840853,0.032863719554922066,6.4826997936418e-12
0.2911392405063291,-3.437106422672481,-2.226181745896313,-6.58591159385935e-8,0.09493482106787282,0.1523522219650031,-2.6200291380895635e-9,0.03869602392023025,0.02881415637710605,7.537276358604572e-12
0.3037974683544304,-3.314796126485565,-2.0318027023356633,-6.911736027959137e-8,0.09830478441039536,0.15470712663963726,-2.5260223635026335e-9,0.037977329538608995,0.02476459815811538,8.54856463394782e-12
0.31645569620253167,-3.1882600360269757,-1.8346680648097418,-7.224924170046165e-8,0.10161157149947775,0.15670605756237638,-2.4204656057236207e-9,0.03725863881712871,0.020715047163003986,9.513643345337996e-12
0.3291139240506329,-3.0575781210502884,-1.6352284328609108,-7.524048895035662e-8,0.10485518275245231,0.1583490154929526,-2.3039162244664624e-9,0.036539953930646574,0.016665506229432914,1.0429549585078135e-11
0.34177215189873417,-2.922830350651728,-1.433934404903372,-7.807755819655426e-8,0.10803561879698831,0.159636001460911,-2.1769662739146156e-9,0.03582127748988723,0.012615978658511218,1.1293323914918219e-11
